,Text,Stance,Class,Target
0,@krystalball is on like a motherfuker today I voting for Bernie so she can be his press secretary! Well that's not the only reason but its a good one huh?,1,0,Bernie Sanders
1,Yeah...#PresidentBernieSanders said something similar a month ago. He has been releasing statements and ensuring us we will be okay when you disappeared. Got.,1,0,Bernie Sanders
2,This is a dog whistle its not about a woman being his VP its about Bernie NOT being. #Democrat,1,0,Bernie Sanders
3,#BernieSanders is still on the ballot. Vote for him! Show where your allegiance lies...,1,0,Bernie Sanders
4,"#BernieSanders lavishes praise on Communist Russia, preferring the Soviet Union to the American way of life",1,0,Bernie Sanders
5,Currently helping a friend re-register (online) as a #Democrat in San Diego so she can vote for #PresidentSanders. PM anyone who likes your Bernie Sanders Facebook posts. Ask if they can volunteer with the campaign. Your reaching out can secure votes for Bernie.,1,0,Bernie Sanders
6,Bernie has inspired a lot of people to stretch a little past their comfort area. Good for you for taking the challenge. We need you to speak for us.,1,0,Bernie Sanders
7,"YES BUT this is a country of the rich, by the rich, for the rich and we are all peasants. @BernieSanders was out only hope and stupid people blew their own only chance.",1,0,Bernie Sanders
8,Was no one gonna bring up that Bernie wouldve been our hottest president ever? #BernieComeBack #BernieSanders,1,0,Bernie Sanders
9,"I just donated another $27, thanks for standing up for working people #Bernie",1,0,Bernie Sanders
10,"So go cry about it to all the others who havent released, EQUALLY. Yall Hillary supporters only get on #Bernie about this, but none of the others. Your attacks on this issue - by singling him out - are meant to bring Bernie down, not promote transparency. Love the fake rage.",1,0,Bernie Sanders
11,"Never too late to become one ;-) - #Bernie is right on many topics - at least from what I can tell here from Europe where many of the things, Bernie wants for you are already matters of course....",1,0,Bernie Sanders
12,"@TomPerez @DNC The voters in this country are DONE WITH YOU and your sociopathic, power-hungry, laissez faire hypocritical insider elitist bullshit. Move out the fucking way. #Bernie",1,0,Bernie Sanders
13,Give benefit of the doubt if Resister or #Bernie Followers suddenly Blocks you. 1) Twitter is known for blocking on your behalf. 2) Be prepared to experience extreme hacking/cyberbullying/cybercrimes as the election draws nigh. #TheGreatHack #CyberSecurity,1,0,Bernie Sanders
14,#NewBluehand #Bluehand RT ninaturner: Are you a student? Are you committed to the political revolution? Are you excited about BernieSanders becoming the next President of the United States? Apply TODAY 2complete our campaigns summer school program and learn how to organize,1,0,Bernie Sanders
15,Divide and conquer is still working against collective consciousness. We never learn. #Warren #Sanders,1,0,Bernie Sanders
16,Funny-- but your Big Mouth is Open All the Time and I can't remember a Single Worthwhile Thing you have Ever Said. Maybe it's because you are a Paid Shill for #CorporateMedia and it's just a Paycheck; #Bernie Yells because You Sock-Puppet Pundits Refuse to Cover Real Issues!,1,0,Bernie Sanders
17,Im sorry but a democratic government is supposed to work FOR the people... politicians are literally representing their constituents. The lack of concern of getting voted out is suspicious... We need a system that works for us instead of against. #BernieSanders,1,0,Bernie Sanders
18,"I agree. But you get that when he pledged his support for ""any DNC nominee"" at the beginning of the primary he pretty much gave away any power her personally had, right? His movement has the power now. We need to get this. Bernie is over on this. We're not.",1,0,Bernie Sanders
19,I lost a tooth in my 20s because I couldn't afford dental care. That empty place at the back of my mouth is a daily reminder that my fellow citizens live in imposed poverty. #MedicareForAll including #DentalCareForAll! #Bernie,1,0,Bernie Sanders
20,"Following the *Cheney model*, crisis is OPPORTUNITY and now, folks, they have the KEYS TO THE KINGDOM so hold on ya ass! #BernieSanders",1,0,Bernie Sanders
21,"The ""minivan"" app is extremely useful for canvassing. It walks you through the whole process. Anyone who hasn't canvassed, I encourage you to do so. It's fun, it's fulfilling, and it's how we are going to win! #PeoplePower #Bernie",1,0,Bernie Sanders
22,"@SenSanders #BernieSanders I think the heat should be turned up on Mr Transparency. And he can throw in his pre-2009 taxes, too",1,0,Bernie Sanders
23,"@BernieSanders was a great candidate in 2016. However, Im jus not sold that he would connect with moderates &amp; independent voters. I think @DNC should mold its platform based many of his policy positions. But we need a fresh, new voice!",1,0,Bernie Sanders
24,"I made a donation to see my name go across, and took a screenshot of it. Brilliant idea by his team. #BernieSanders",1,0,Bernie Sanders
25,"Apologies for the repetition, but this smile seems to have been chiseled in my mind! And like I said before, I'm sure I wasn't the only one affected.... If listen carefully, pay enough attention, we can actually hear the sound of fireworks #Bernie #Berena #BlastedByBernie",1,0,Bernie Sanders
26,"If the DNC allows @BernieSanders to run as a Democrat AGAIN, Im DEFINITELY leaving the Democratic Party!",1,0,Bernie Sanders
27,"After skimming the text, it looks like a typical Republican piece of shi...I mean legislation. The better off you are, the more assistance you will get. It it high time the the US govt value the working class in this country. #COVID19 #BernieSanders",1,0,Bernie Sanders
28,Its what Ive been saying... #GeneralStrike the corona virus edition! Our time is NOW! We demand #BernieSanders #BernieIsRight #Bernie,1,0,Bernie Sanders
29,Pocahontas is trailing #BernieSanders in her own home state of Massachusetts by 8 points. How embarrassing.,1,0,Bernie Sanders
30,I supported @BernieSanders last time and voted for HRC in the general; Ill be supporting him again in this primary and will vote for whomever wins. Please stop picking at these wounds; youre doing the GOPs work.,1,0,Bernie Sanders
31,"So optics aside, you have any substantive policy reasons to dislike Bernie? Because if youre beef is a 11 second clip & not policy then you are just noise in an already over crowded conversation. Move along.",1,0,Bernie Sanders
32,"""We need a freedom fighter in the White House. Are you ready for #BernieSanders as your president?"" -Martese Chism, RN Nope. Not gonna happen. #bernierally #Chicago #DemocratsAreDestroyingAmerica",1,0,Bernie Sanders
33,"@BarackObama is 100% trying to sheep herd the left. He is straight up lying. If was being honest about this, he wouldn't have been the leader of the stop #BernieSanders campaign behind the scenes. Fool me once, shame on you: fool me twice, shame on me. #FuckObama",1,0,Bernie Sanders
34,Kyle 2020 game plan expand our populist left lead in the house. Win get populist dems elected to senate with a 60 seast lead. then #BernieSanders #Bernie,1,0,Bernie Sanders
35,I'd say by the comment section your DOA. Good luck though. #Bernie 2020,1,0,Bernie Sanders
36,Send Bernie Sanders. Maybe he can take some notes. Take Kamala and AOC with you. #KAG2020,1,0,Bernie Sanders
37,"Its just a meme, but it does feel like a gift I am honored to give. I started knitting berets, mailed some to Bernies Vermont office, he sent a letter of thanks, and now finally, graphic artists and other crafters are joining me #NotMeUs Much love! We will elect",1,0,Bernie Sanders
38,"After watching Bernie get Disney & Bezos 2 agree to their wages, Senate pass a resolution on Yemen &amp; #MedicareForAll enjoys over 70% support, I don't doubt for a minute this man couldn't move mountains as POTUS. Public pressure will become deafening for his policies.",1,0,Bernie Sanders
39,Rootin for Bernie tonight ^-^ also check out my beaver! #bernie #Bernie spoiler alert: Harley voted for Bernie ;),1,0,Bernie Sanders
40,@BernieSanders honesty and integrity is what opened my eyes to the injustices of our world. His passion and his encouraging personality has given me the strength to keep going. I will forever be inspired by his willingness to fight for those hes never met!,1,0,Bernie Sanders
41,The questions were not meant to imply I am against Bernie I actually support lots of progressives and am hoping Kampala Harris or Julian Castro win the nomination we need new young progressives to lead the party,1,0,Bernie Sanders
42,"Tom Steyer really is quite the #BernieBro. I may have picked on his tie and his silver spoon, but he has good taste in friends :)",1,0,Bernie Sanders
43,"@BernieSanders says, Our time on this Earth is precious. Let us honor the tremendous strength &amp; courage of @AdyBarkan by watching his moving testimony, sharing it widely, and working tirelessly to pass #MedicareforAll to guarantee health care to every man, woman and child.",1,0,Bernie Sanders
44,Maybe it is time to vote in #BernieSanders because national healthcare is bedrock of national defense. People who day we as a nation are incapable of managing a national healthcare system don't have high opinions of US innovation or engineering.,1,0,Bernie Sanders
45,"TY but which follow back? Seems some ""Best Berners""accdg 2 their stats displayed, don't FB, so never C our tweets to discuss/support, thus slow #OurRevolution Non-following non-followers so we have room for followers takes time we/#Bernie can't afford, esp after last night. #IFBB",1,0,Bernie Sanders
46,"#NotMeUs Im fresh out of College, racked with medical debt and student loans and Im angry as hell. #Bernie",1,0,Bernie Sanders
47,Y'all so-called revolutionary #Sanders supporters oughta buy your yellow vests before they sell out.,-1,0,Bernie Sanders
48,"Lets instead put our energy towards publicly calling out the #BernieSanders trolls early this election cycle. Whenever and wherever possible - Twitter and elsewhere. We cant stop them, but we can make sure they know theyre not part of the movement.",-1,0,Bernie Sanders
49,Let them k ow @SenSanders eas/is a User Hitchiker since Stealing Electricity from neighbor He admits using Dem Party for Media and stayedtoo long for PAC$$and BookTour #Carpetbagger F*ck Off #BERNIE,-1,0,Bernie Sanders
50,my good friends in #Norway say this to me all the time. #BernieSanders does not want to tell his base his M4A care program is broken in its very premise.,-1,0,Bernie Sanders
51,The only issue I really draw is... Bernie is the one saying this... He's saying if I am elected... I will ban FR which to me sounds like when I am elected you shouldn't trust my government to try and keep you safe... Which is just strange to me,-1,0,Bernie Sanders
52,**** @BernieSanders struggles to address Russian support after Mueller indictment**** #FoxNews,-1,0,Bernie Sanders
53,@CNN #Bernie cant even get the youth hes so popular with to turn out &amp; vote for him in the primary #DemDebate,-1,0,Bernie Sanders
54,"#Bernie attracts and prefers the illegal and criminal element, he protects them over hard working American citizens...they represent the votes he is after.",-1,0,Bernie Sanders
55,"#Sanders distances himself from group backing his WH run When I saw this, I felt relief that he was finally going to denounce #Bernie Bros. He didnt. But he should. Bc theyre doing more to divide &amp; damage than Super PACs, IMO. #BlueNoMatterWho",-1,0,Bernie Sanders
56,"Your book is fictional account of the world according to your deranged mind; of lying Under Oath. Its all about money . Its all about you being the penultimate weasel in the history of the once Proud &amp; Honored FBI. You shame everything you touch. Goodbye, loser. #Bernie",-1,0,Bernie Sanders
57,"And we have you! A weak socialist who is only in it for the money, who had a chance to win it all and gave it all away to a witch with a golden apple. #bernie #gohome",-1,0,Bernie Sanders
58,"So you want me to stop mentioning that #Bernie's a TRAITOR, is that it?",-1,0,Bernie Sanders
59,#Bernie ... When is Bernie going to spend time in the barrel?,-1,0,Bernie Sanders
60,"Seriously if you live in #Bernie #Vermont youd feel differently. 3 decades Bernies been collecting a taxpayer funded paycheck &amp; hes done little for Vermonters. If you can enlighten me on what my Senator has done for us in rural Vt, Im all ears. Hes become rich &amp; were poorer",-1,0,Bernie Sanders
61,I am not against #Hillary However I do not think@she should run again. I voted and campaigned for her. #Bernie is not a #Democrat and his main goal is to oppose something #Democrats need candidates that are #progressive and have plans to deal with the #economy and #ForeignPolicy,-1,0,Bernie Sanders
62,"Please tell #BernieSanders to stop talking about #Russiagate influencing our elections. And start talking about the DNC election fraud, that cost Bernie the nomination in 2016. He is losing votes over those two things. #Fact",-1,0,Bernie Sanders
63,"#Bernie your socialism belongs in Venezuela, hurry your plane is ready.",-1,0,Bernie Sanders
64,"He needs to be replaced, now! This is 2016 all over again. Bernie has never done the right thing in his miserable, fraudulent life. Its all ego. He is toxic!",-1,0,Bernie Sanders
65,#Bernie Freaking #Sanders would be almost #80 EIGHTY frigging years old if he ever got near the Presidency he should not legally even be able to run for the office at that age this is common sense people,-1,0,Bernie Sanders
66,Tell that to your friend @BernieSanders who never had a job before politics,-1,0,Bernie Sanders
67,"& I appreciate it, but that doesn't appease me if he won't admit the allegations, get money out of politics or any other platform change that must attract the Young then he doesn't have my vote. & there's people saying they'll blame the #Bernie &amp; the Left, which is most...",-1,0,Bernie Sanders
68,"#Bernie was a key voice in 2016. But I dont think hed win &amp; would be a distraction, dividing/weakening the progressive vote. Also, his recent mistake re: his staffs #sexualharassment tells me hes not the right person to lead the next phase of the womens #civilrights movement",-1,0,Bernie Sanders
69,"Every time someone screams at me to support Bernie, the more likely I am to just not vote (I will, but I am not excited about it anymore). Please stop harassing #ElizabethWarren volunteers. We are hurting and in pain. We do not need you to shout at us.",-1,0,Bernie Sanders
70,"#Sanders is an opportunist who only joined the #Democrats so he could take advantage of their organizational apparatus &amp; ground game &amp; base support. He sits as an independent, he should run as one. I have no respect for his attempt to exploit the Dems then cry foul.",-1,0,Bernie Sanders
71,I'm no fan of #BernieSanders or any other democrat. I consider him a political enemy. But what the #DNC has done to him rigging the democratic process is wrong and even he the right to not have an election rigged. Shame on the DNC and anyone who supports this.,-1,0,Bernie Sanders
72,"No matter the poverty, death, and anarchy that #Socialism is responsible for, #BernieSanders wants you to wear BLINDERS to see ONLY the promised DREAM... ...but REALITY tells a different story... Sanders' Scary History of Socialist Praise via @YouTube",-1,0,Bernie Sanders
73,You're not voting for Bernie Sanders. You're voting for his vice president. I smell W.H. Harrison Pt. 2 Feel that heartBERN #Sanders,-1,0,Bernie Sanders
74,Bernie Sanders complains about wages in America but doesnt even pay his own workers a living $15 wage. Hypocrisy at its finest. Typical democrat. #Bernie @SenSanders,-1,0,Bernie Sanders
75,Bernie is done ... Many Dems wanted the process of letting 20 plus candidates for POTUS have their say ... fairly ! #SuperTuesday told us the time period was finished and now was the time to stop holding our tongues and way in ... despite a GOP led media telling us what to do !,-1,0,Bernie Sanders
76,Unfollowing my leftover #Bernie boosters from 2016. He is a presidential election loser and he's only decreased in key factors since then. Doesn't mean he's not right or that #Democrats haven't kneecapped him. All reasonable people #FeelTheBern. #election2020,-1,0,Bernie Sanders
77,Bernie pointed out that China has lifted millions out of poverty but failed to mention it was because they shifted to capitalism. #DemocraticDebate,-1,0,Bernie Sanders
78,"So, #berniesanders knew a Month ago!!...and we just found this out!",-1,0,Bernie Sanders
79,"In 2016, Barry Hussein Obama credited #Castro's literacy, cheered &amp; did the wave at a baseball game #Cuba with the ruthless Communist dictator.. But #Democrats didn't blinked an eye bc they're all freaking #Communist #BernieSanders #FidelCastro #BernieIsACommunist",-1,0,Bernie Sanders
80,"Its an echo chamber. It just amplifies his fans who also happen to be #Bernie already. It doesn't sway anyone who A) wasn't already a Bernie fan, or B) anyone who is a Rogan fan but not a Bernie fan. Also, its the weirdest, loneliest, Venn Diagram ever.",-1,0,Bernie Sanders
81,"#Bernie hardly works; all he says is ""healthcare for all"" over &amp; over. He's been mooching off government forever 19yrs of unemployment, then NRA bought his 1st seat in Washington. Got $27? My $3.2 million I kept is running out cause trip to Vatican &amp; 3rd house he bought on lake.",-1,0,Bernie Sanders
82,"@AshleyRParker h/t @MrDane1982-""Here's answer to Beto massive number raised-Beto O'Rourke gave last $4.5M of his senate race to Texas Democratic Party &amp; on day one they gave it back,Blinded MSM?#PULL his FEC filings!Beto should release individ contributions"" #Bernie Also !",-1,0,Bernie Sanders
83,"If that was true, then @BernieSanders should have called himself a Democratic Populist. #BernieSanders is trying to sell Sanders' Sushi as Cuban Fish and then getting ANGRY at anyone who is skeptical at best. #NoThanks #NoBernie",-1,0,Bernie Sanders
84,#CrazyBernie tells us Americans pays to much for healthcare and our hospitals are ripping us off. #BernieSanders thinks we can cut costs if we adopt a #Cuba type healthcare system. #Bernie is either a nut of a liar and with our hospitals - yes it costs more. #DNCRigging #DNC,-1,0,Bernie Sanders
85,Proposing policy that certainly harms Americans in the short-term for uncertain impact/uncertain benefit later is disgusting. Pandering to emotional climate activists while lying to them regarding policy costs is disgusting and immoral. #BernieSanders,-1,0,Bernie Sanders
86,Hen it's a leading question and who can blame you? The #Sanders campaign is systemically wrought with #antiSemitic #Israel hating bigots. #Bernie presents a security nightmare for both Israel and #America And is the likely nominee. Bonus: His economic policies also suck!,-1,0,Bernie Sanders
87,"#Bernie - Please stop whining over @AndrewYang's endorsement not being for @BernieSanders. He doesn't owe y'all shit! #YangGang who are upset and complaining about Andrew's recent decisions -- Give it a rest. He really doesn't owe us anything, either...",-1,0,Bernie Sanders
88,"If every person attending #BernieinLA (or ANY #Bernie rally) would tweet the hashtag just once, we could trend every time. Please consider tweeting while you wait! #BernieInCA #BernieInLosAngeles #FeelTheBern2020",-1,0,Bernie Sanders
89,Ok @BernieSanders supporters. I respect you. I didn'tt vote for him in 2016 &amp; nothing has changed I won't vote for him in primaries. You can't change my mind. Please respect me &amp; those like me who believe he isn't the candidate for 2020. Please. #election2020 #BlueWave2020,-1,0,Bernie Sanders
90,"Ching-Ching > Another house for Bernie, on it's way. Paid for by the DNC and money his donors gave to his campaign. 2016 all over again. They're never tire of",-1,0,Bernie Sanders
91,They are NOT reporting that #BernieSanders is largely thought as market Negative ! When Bernie Sanders is more prevalent than #Coronavirus who can tell which is effecting the market,-1,0,Bernie Sanders
92,"#BernieSanders #berniesradicals Americans, please read the 2nd Amendment and ask yourself if this is what the founding fathers meant by ...necessity of a free state... Bernie Sanders and his supporters are a threat to our nation.",-1,0,Bernie Sanders
93,"PART 2 #DemocraticDebate #BernieSanders he basically wants to bring back slavery... like come on this is ridiculous, reduce wages for Americans by bringing in low wage temporary workers LIKE THIS IS WRONG !",-1,0,Bernie Sanders
94,"""I just think that #Sanders is a phenomenon. He had a HEART ATTACK,"" says @VanJones68 on CNN #IACaucus",-1,0,Bernie Sanders
95,"#Sanders if Uwanna B Pte. go 2D Soviet Union, oh no! D #URSS implode! Talk 2Fidel Castro! Oh sorry! the DINOSAUR is in Hell ! Lets see !!! Well., It will be better to review this video of a socialist among us !!!",-1,0,Bernie Sanders
96,this baghdad barbie sanders tweet is as true today as it was 18 months ago. #POTUS45 #losing,-1,0,Bernie Sanders
97,"Sanders has three houses and has accomplished little in DC in 30 years. His anger is palpable, but he, as usual, directs it at the wrong targets. After four years of a nasty, angry man, #BernieSanders is the last person we need to try to help and heal this country.",-1,0,Bernie Sanders
98,Reading replies from the Bernie crowd I'm legit curious what #DemDebate #DemocraticDebate they watched,-1,0,Bernie Sanders
99,Someone at @FoxNews was asking who they voted for in #NewHampshirePrimary and they said #BernieSanders because of his promise to cancel student loans. Going to be a lot of disappointed kids when they find out this is a fairytale,-1,0,Bernie Sanders
100,Y'all gotta stop making such cool Bernie vids! I can't keep up #PresidentSanders,1,1,Bernie Sanders
101,"@CorporatistN The ONLY candidate who you can bet your house and your life on who won't back down is ONE #Bernie #LyinLiz will back off in a heartbeat! Think ""Buying"" endorsements, Lyin prego, Lyin Indian Heritage etc.!",1,1,Bernie Sanders
102,you're a salty AF #Bernie who came here after my tweet on indignant democratic socialists...naw you didn't prove my point or nuthin.,1,1,Bernie Sanders
103,"When you cant beat The Man with ideas or debate, start Calling him Names. Bernie displays more childish behavior. #Election2020",1,1,Bernie Sanders
104,I appreciate that Bernie was as fired up as he was every answer cuz that debate was boring as fuck lmao #DemocraticDebate,1,1,Bernie Sanders
105,Yaaas Bernie is the OG!!!! He brought us to where we are but we need more results!! #DemDebate,1,1,Bernie Sanders
106,So... But... Okay. We're guessing nobody who is close to you told you how i n s a n e you sound. Psst. We ALL have the google. Stop twisting the truth & lying abt Bernie! #Bernie2020's #MedicareForAllTownHall is Brilliant! #SinglePayer!,1,1,Bernie Sanders
107,THOU SHALT NOT TAKE BERNIES NAME IN VAIN - The Bernie Bro Bible #DemocraticDebate,1,1,Bernie Sanders
108,I pray to God to protect you & give u a long healthy life #Bernie,1,1,Bernie Sanders
109,"#BernieSanders For The Win On #SuperTuesday Proverb. fool me once, shame on you; fool me twice, shame on me. Don't Let Them CHEAT! Don't Let Them STEAL THIS FROM HIM AGAIN! Send A CHILL down Chris Matthews SPINE! VOTE",1,1,Bernie Sanders
110,"@janeosanders see, told ya we're still with ya :) even @DeionSanders is still feelin the Bern",1,1,Bernie Sanders
111,"WATCH THIS - Glad to see Bernie is not playing around!! Book Release Discussion 11/27/18 - Bernie Sanders, ""Where We Go From Here"" #WeNotMe",1,1,Bernie Sanders
112,Heres a song for my fellow Berners Ain't No Half-Steppin' by Big Daddy Kane. #NoMiddleGround #AintNoHalfSteppin #BernieSanders,1,1,Bernie Sanders
113,Michelle will make a big hit with with Bernie supporters after they performed their #ObamaCoup on,1,1,Bernie Sanders
114,Is she talking abt OUR Bernie Sanders? Or some random guy who dumped her named Bernie Sanders? 'Cause those talking pts r WAY off base!,1,1,Bernie Sanders
115,"(She is such an idiot lol, check out this video making her look like a fool ) Zerlina Maxwell Suffers From Bernie Derangement Syndrome",1,1,Bernie Sanders
116,"Im nervous ... Im shaking ... Im worried now... can we make it? #BernieBruh #Bernie ??? Ran into many trying to sell @ewarren, but I want @BernieSanders",1,1,Bernie Sanders
117,LOL just come out and say it anyone but bernie ...We all see right threw you ..Get a new job,1,1,Bernie Sanders
118,"Lol Thats fine, Bernie people lay off Warren for optics... leave ole Lyin Liz Green Bombs Pow Wow Chow I wasnt a Dem until the neo-libs took over Wonky Warren to Tulsi and the Tulsicrats then",1,1,Bernie Sanders
119,"Greensboro for BERNIE BERNIE... ""No no, it's not ME, it is all of US"" NOT ME US NOT ME US #OrganizeWithBernie",1,1,Bernie Sanders
120,"Would U have preffered him supporting @POTUS the ? He didn't sell out to any1, he did right by the ppl &amp; supported his party,even though they didn't deserve him or his support! Try again! #Bernie",1,1,Bernie Sanders
121,Me: uncle who did you vote for? My father in law: PTI ... #BernieSanders,1,1,Bernie Sanders
122,Knew Bernie wasnt dropping out yet. That wouldve been so fucking boring.,1,1,Bernie Sanders
123,I'm a man who can say foul shit on the internet... because I support #berniesanders will you call me a #BernieSanders - ??? #AskingForAFriend,1,1,Bernie Sanders
124,If anyone buys this lame testing graphics explanation they should have their gullible damn head examined. This release was a deliberate #OperationMockingbird type fuk w/ #Bernie peeps deal. STOP being so complacent peeps. &gt; #DNCFraud,1,1,Bernie Sanders
125,"""I wrote the damn bill"" - another @SenSanders classic that will eventually end up as a meme #DemocraticDebate",1,1,Bernie Sanders
126,#ElizabethWarren attacked #Bloomberg for #BernieSanders cause she is sucking up in order to be his vice president...(tgj),1,1,Bernie Sanders
127,#Election2020 This is what low info voters &amp; people who use their feelings on the Left sound like. Warren Supporters Mixed On Bernie via @YouTube,1,1,Bernie Sanders
128,"side note from my usual kpop shit, but some states have elections tomorrow and im just here to remind u to #Bernie yall",1,1,Bernie Sanders
129,Drama Drama Drama Bernie... put on your grown up panties and start working for the American ppl again!,1,1,Bernie Sanders
130,I just took action on @theactionnet: Labor for Bernie 2020 Pledge!. Take action here: ; #VoteForLabor,1,1,Bernie Sanders
131,don't pump your de rigueur hard line self effacing bull shit at us drop out and #BernieSanders,1,1,Bernie Sanders
132,Did This bitch Elizabeth Warren really just raise her hand when Bernie Sanders said Native Americans? #DemDebate #BernieSanders #ElizabethWarren,1,1,Bernie Sanders
133,"What will @PBS say when #Bernie wins, Its a Cinderella story; he came outa nowhere .. #BehindTheCurve",1,1,Bernie Sanders
134,"Am hoping #Bernie fights back tooth &amp; nail, no holds barred! #Berners stand behind him, beside him, with him! Look out DNC - we are the underdogs &amp; when you ain't got nothin', you got nothin' to lose!",1,1,Bernie Sanders
