,Text,Stance,Class,Target
621,"@USER @USER trump stood there laughing
i felt the pen in my hand
trump laughed no more......vote him out.....",1,0,Joe Biden
567,@USER @USER @USER we can only hope so! #biden2020,1,0,Joe Biden
1157,"@USER @USER @USER @USER @USER stay true vote blue.
until trump is through.
it’s what we have to do.
we’re going to start a new.
the dangers all along
trump knew.",1,0,Joe Biden
1015,fuck donald trump. fuck you fuck you fuck you,1,0,Joe Biden
960,cant wait to watch biden own this debate,1,0,Joe Biden
110,"@USER turnip'll be high as the hindenburg. let him crash and burn. but all biden has to do is look smart and occasionally say ""boo!""",1,0,Joe Biden
1162,@USER i believe you!! i can't wait!!! #biden2020,1,0,Joe Biden
387,@USER typical. i don't know why nobody stands up to these turds. #dumptrump,1,0,Joe Biden
715,"well, @USER , that went well!
#votebluetosaveamerica @USER @USER @USER @USER @USER @USER @USER 
‘fox  HTTP",1,0,Joe Biden
970,"@USER @USER no way! i have it

biden 64

trump 24

joe the mechanic 32
(joe does his own numbers)",1,0,Joe Biden
201,"@USER if i were the biden team, i'd use tonight to put tr*mp on trail for the deaths of 200,000 americans. make him squirm.",1,0,Joe Biden
924,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER thank you ben! let’s see the #bluewave!!!,1,0,Joe Biden
971,"“we don’t need a tax code that rewards wealth more than it rewards work.”
@USER  #dnc

yes",1,0,Joe Biden
648,"all i heard from trump was me me me me blah blah blah. i saved football!  joe on the other hand showed his concern for americans. joe was genuine, trump was all about trump and how he thinks he’s been so good. he doesn’t even have a plan for the next 4 years.  #debatenight",1,0,Joe Biden
848,"@USER “this is our moment.

this is our mission.”

#biden2020",1,0,Joe Biden
680,@USER i’ve talked with many people today who say they’re too anxious to watch. we all are sure it will go well. but ugh i can’t stand to see 45’s shenanigans. biden i’m sure will be great. our bell wether county is showing far fewer trump signs than in ‘16. HTTP,1,0,Joe Biden
1168,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER had enough? #votebluetosaveamerica,1,0,Joe Biden
1110,"well, hell, biden nailed it. really moving speech. #voteblue",1,0,Joe Biden
434,"it's the final night of the #demconvention!

make sure you watch joe biden with me! 9 pm et - HTTP",1,0,Joe Biden
862,the #kindness is the point HTTP,1,0,Joe Biden
1000,@USER i feel the same! i want to hear biden. but i loathe the sound of trumps voice.,1,0,Joe Biden
276,@USER trump plans? i’m sure biden and his staff have done more than two hours of prep for trump’s plans.,1,0,Joe Biden
761,"@USER @USER @USER @USER omg.
that's definitely for iv.
@USER @USER @USER @USER @USER @USER 
#biden #joebiden",1,0,Joe Biden
9,@USER and trump won’t be able to creep around behind biden like he did to hillary. he has to stay in his own lane 👊🏻,1,0,Joe Biden
1007,@USER @USER all in for biden,1,0,Joe Biden
253,"this speech by #joebiden is all that i wanted. plans, what they are, how they will make them happen. this isn’t the speech of a dreamer, but a call to action and a promise.",1,0,Joe Biden
76,"@USER @USER @USER @USER kamala harris will be a historic vp!
a real woman in the white house! no more barbie tweets........
#dumptrump HTTP",1,0,Joe Biden
124,"@USER why? what are they, 2 years apart? biden will come out swinging without a doubt.",1,0,Joe Biden
490,"@USER @USER and #joebiden would reach 
down to the bully he just decked to offer a hand up and offer to shake as a gesture of peace. reset. new start.",1,0,Joe Biden
504,"@USER @USER @USER @USER @USER @USER yes he is! that will change nov 3, though.
#votebluetosaveamerica",1,0,Joe Biden
347,"@USER @USER @USER @USER he should be in jail not in the white house. #pedojoe #joebiden
HTTP",-1,0,Joe Biden
1071,@USER this world is going to sh***t real quick.. #blmterrorists #trump2020 homie,-1,0,Joe Biden
681,joe biden doesn’t like judge barrett because he can grope her or sniff her hair. HTTP,-1,0,Joe Biden
1218,@USER @USER @USER @USER @USER same people who rail against @USER at a podium without a mask. hypocrites!! #trump2020,-1,0,Joe Biden
701,@USER @USER is jill biden debating for sleepy joe? #trump2020 #bidenriots,-1,0,Joe Biden
230,the best is yet to come...#trump2020 #potus #potus45 @USER @USER @USER HTTP,-1,0,Joe Biden
1101,"@USER he's still your president 
#trump2020",-1,0,Joe Biden
661,@USER it will all be staged for biden.,-1,0,Joe Biden
1243,@USER @USER can not blame trump for the deaths. he took advice from doctors. do not forget he closed the us to  china from coming in jan 31. biden said it was xenophobic (that is on the record). pelosi went to chinatown and said trump was racist. deblasio also said he was racist. just own it,-1,0,Joe Biden
5,@USER i think all the ‘lids’ on the biden campaign days is them trying to find the best drug cocktail to allow biden to look sentient.  trial and error.,-1,0,Joe Biden
762,@USER you’re right!!!! trump 4 more years!! #trump2020,-1,0,Joe Biden
99,@USER yooo biden on da sexual drugs doe??,-1,0,Joe Biden
718,y’all do know that trump is gonna smoke biden in this debate right ? 😭😭😭😭😂,-1,0,Joe Biden
323,@USER keep counting this country out #maga,-1,0,Joe Biden
488,"@USER @USER @USER @USER this guy is excused. he earned the right to do whatever the f*** he wants.
#veteransfortrump 
#trump2020 HTTP",-1,0,Joe Biden
223,"@USER @USER that's because he's a brainwashed black #democrat! he's their errand boy.
isn't what the #democrats does, and, use them as baits to catch other blacks!
blacks don't hate other people, unless they are bad, that's not racism!",-1,0,Joe Biden
668,biden phone home! @USER @USER @USER @USER #maga2020 #kag2020 #kag #trump2020 HTTP,-1,0,Joe Biden
84,@USER i’m a pissed uaw member. you’re supporting open borders which = lower wages. supporting attacks on cops. my brothers stand for our flag &amp; for #trump2020. flags shirts hats bumper stickers all over our shop. uaw is a disgrace to the usa.,-1,0,Joe Biden
1013,@USER full of lies! #dnc no one wants a hussein third term!,-1,0,Joe Biden
1060,@USER @USER #trump2020! we have to get these fortniters kids on the right way of america!,-1,0,Joe Biden
928,@USER must be another dementia moment. what he ment to say was when @USER whoops his ass in november. he’s going to keep making america great. #trump2020 #maga,-1,0,Joe Biden
16,@USER well of course have you see the numbers around the world? is all result of the pandemic ! stop the hate ! #trump2020,-1,0,Joe Biden
513,@USER expose this. if you #goggle HTTP,-1,0,Joe Biden
50,@USER crazy and creepy will not know what hit em this november! #maga,-1,0,Joe Biden
731,@USER @USER @USER trump said the right thing. fake news can spin it all they want! #factsmatter #trump2020,-1,0,Joe Biden
819,@USER fat fake flopper. look like a james harden level flop. #maga #kag,-1,0,Joe Biden
654,@USER @USER @USER get another test!  HTTP,-1,0,Joe Biden
402,@USER we are witnessing that anyone with a half a brain can control people’s thoughts! #trump2020,-1,0,Joe Biden
396,"@USER @USER it never fails, they always play the victim and cry. she had the audacity to ask for a female officer. 🤡 #trump2020",-1,0,Joe Biden
467,@USER we are with you alllll the way! #trump2020,-1,0,Joe Biden
1160,@USER omg this fool cant even speak let alone know wtf he talking bout .. 🙄🙄#trump2020,-1,0,Joe Biden
259,"@USER @USER @USER cognitive decline or out and out lying, or both! #trump2020",-1,0,Joe Biden
283,@USER vote red people.. #trump2020,-1,0,Joe Biden
427,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 🇺🇸 thank you for the mention, stephen!

#trump2020!",-1,0,Joe Biden
997,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER following several new #patriots! need a follow back from @USER,
@USER, @USER,l
@USER,
@USER, and
@USER. #patriotsunite #trump2020 #wearetrump",-1,0,Joe Biden
303,@USER biden is toast HTTP,-1,0,Joe Biden
413,"biden says he will focus on truth, here is the problem.  HTTP",-1,0,Joe Biden
1239,@USER they will do anything and everything to try and get rid of you.  we know the truth.  everyone knows the truth. #trump2020 #foxnewssucks,-1,0,Joe Biden
1073,@USER stop it @USER    we all know what your trying to do or say!   #trump2020  everyone i talk to in chicago is voting for trump.  paint this city red!,-1,0,Joe Biden
810,@USER i can’t wait to see that! #trump2020,-1,0,Joe Biden
221,"@USER @USER i’m voting #biden2020 no matter what. but, if i may, perhaps mr. o’donnell could rehearse with mr. biden a bit before the debates and script a few witty comebacks. as the author of “the debate” on #thewestwing no one is more qualified. #letbidenbebiden",1,1,Joe Biden
625,i love biden ❤,1,1,Joe Biden
147,"hey @USER good try, but talking to @USER just doesn’t go anywhere.  he won’t ever give a simple answer! he just wants to be trumps mouthpiece and conflate the issues!! 
#votebluetosaveamerica",1,1,Joe Biden
689,@USER trump knows he's going to lose. everyone needs to #voteblue for biden and down ballot. that mf isn't going to steal this election. #biden2020 #saveourcountryvoteblue,1,1,Joe Biden
1098,"@USER have the debates on a stage, on top of a ramp, and make sure they each drink a glass of water first. person man woman vote #biden2020",1,1,Joe Biden
328,"it's time to band together to show our strength #resisters. 

#followbackparty.
follow all who:
like ❤️
retweet 🔁
comment 💬

vet as you go. have fun.

#resist #fbrparty #usps #wearamask #vote #bidenharris #dumptrump #bluewave2020",1,1,Joe Biden
214,@USER has now presided over the preventable deaths of almost 150k americans. his lack of a national plan and the time he wasted has resulted in this chaos. he must go. #biden2020,1,1,Joe Biden
557,living for @USER tweets rn. savage af and i’m here for it 🙌😂 #dumptrump #bidenharris2020 HTTP,1,1,Joe Biden
650,biden keeps say “bunker”. i love it! lmao #debate2020,1,1,Joe Biden
772,@USER but why? she insulted the hell out of him! she almost derailed #biden's candidacy during the primaries with some warped illadvised statements on busing. i'd much rather tracey. #biden2020,1,1,Joe Biden
302,"reading tweets from repubs. about how boring the dem. convention was.  i saw empathy and hope.  i loved it.  not missing the hate, racism, misogyny and name calling.  i'll take sincerity, truth and respect any day over the trump circus.  #biden2020",1,1,Joe Biden
992,"@USER do you have any idea how full of crap this is? you russia loving traitor! go back to moscow and stay there... 
#biden2020 HTTP",1,1,Joe Biden
520,"joe biden could drop his pants on 5th avenue , deficate and i'm still voting biden 2020",1,1,Joe Biden
628,@USER poosies afraid of biden,1,1,Joe Biden
478,y’all nothing has really happened yet but biden has that fresh cut ok king,1,1,Joe Biden
643,"@USER @USER trumpets know trump will do nothing to enhance their true standard of living, but the feeling that he will is good enough. it’s this feeling that he will do for them that he won’t do for others. it’s the emotional connection that he cares fuels trumpets. #biden2020 HTTP",1,1,Joe Biden
53,"good morning!

hey texas! *thirty days* until early in-person voting!

51 days to nov 3. 

mail-in ballots should be arriving any day. shout out when you receive yours please. 

we’re going to do this!

#joebiden #kamalaharris HTTP",1,1,Joe Biden
602,"@USER the debate clearly showed me biden has control. trump is off his rails. cannot have a leader like that. his time is up. god willing, electoral college favors biden by a wide margin!",1,1,Joe Biden
330,@USER biden just showing up and finishing wins! the expectation is set soooo low that he will win just by showing up. regardless of what happens.,1,1,Joe Biden
746,"called it! my folks and i made this thing waaay ahead of time and it was worth it!

#kamalaharris
#joebiden
#vppick
#bidenharris2020 HTTP",1,1,Joe Biden
35,"@USER please #followback all who rt or  quote rt this short (1:36), bluesy pro-biden ditty.  

#voteblue 
#votebidenharris 
- “kamala and joe” - 
please click “thumbs up” on youtube. 
#bidenisawinner
#fbr

also, feel free to pin this: 
HTTP",1,1,Joe Biden
940,maxwell HTTP,1,1,Joe Biden
546,@USER glad he has nothing more pressing to attend to  ... we need a chief executive and team who will work hard on behalf of the american people - not one who tweets and tvs all day. so #wewillvote and we will #voteblue from the top to the bottom of the ballot! #bidenharris2020,1,1,Joe Biden
269,@USER washington state. all mail in. it is the best way to vote imho. #votebluetosaveamerica,1,1,Joe Biden
1057,"@USER this is a fake, doctored by the right wing!! you are being duped by your own party, just look at it closely for the words to match up with her speaking!! #votebluetosaveamerica @USER #america",1,1,Joe Biden
1127,"trump likes to attack biden's family so people don't focus on the main question.
trump likes to interrupt, to waste time on important subjects.
trump supports the kkk and racist practices.
trump talks about his power and support more than the issues at hand.",1,1,Joe Biden
1,.@USER on covid-19: we'll put the politics aside. we'll take the muzzle off the experts so the the public gets the information they need and deserve. honest unvarnished truth. they can handle it. #demconvention @USER HTTP,1,1,Joe Biden
171,"@USER he could hold a gun to my head and say he would pull the trigger if i didn't vote for trump and i would just look at him and say, ""#biden2020 """,1,1,Joe Biden
107,joe biden could drop dead on the stage tonight in front of the whole world and i would still vote for him because #fucktrump,1,1,Joe Biden
438,if after watching the debate you still are voting for trump... wow,1,1,Joe Biden
300,"realdonaldtrump: can you believe what’s happening!? they give joe hiden’ the questions, and he reads them an answer! HTTP",-1,1,Joe Biden
604,"@USER agreed. only difference is trump has been doing things for less than 4 years, but biden's 47 year record is lacking. given he's not president, not for lack of trying, it is on him to answer what he would do differently. he provided 0 plans tonight.",-1,1,Joe Biden
275,"so you guys really spent two weeks claiming trump was on adderall— only to have joe biden refuse to take a drug test ahead of the debates, and now you’re silent? 

liberals could not be more full of it. 

@USER will be clearly be loaded up tonight.",-1,1,Joe Biden
420,"@USER one simple slogan, ""keep america great""!  #trump2020",-1,1,Joe Biden
366,"don’t forget. @USER has helped those in need by extending unemployment benefits, not democrats. remember that when you go to the polls in november. the democrats would rather play corrupt political games than support much need relief for the american people! #trump2020",-1,1,Joe Biden
122,@USER why don't you declare your broken unemployment system a public health crisis??? 5 dam months i've been waiting for my money! i bet you or any members of your staff &amp; family has not missed a single paycheck during this pandemic!!! #removewhitmer #whitmersucks #teamtrump #wwg1wga,-1,1,Joe Biden
232,"@USER republicans trying to steal the election?  no, that is what you demonrats are trying to do.  mail-in ballots are highly susceptible to fraud and you know this.  you can't beat trump without cheating, and we know this.  #trump2020",-1,1,Joe Biden
792,@USER he's going down folks #maga #trump2020landslide HTTP,-1,1,Joe Biden
104,"installment 4:  joe biden: a lifetime of lying &amp; plagarism.

let's take a peek, shall we?

'joe biden's lying, bullying and cognitive deficits make him a poor choice for president. does this explain why he's been 'kept in the basement'?' HTTP",-1,1,Joe Biden
245,@USER watch this poll disappear like magic once trump overtakes biden. HTTP,-1,1,Joe Biden
1024,@USER @USER @USER i’m really embarrassed for @USER ‘s comments....zero facts........zero research....100% emotion.  that’s how you respond to a serious issue?  go vote for your sleepy joe.   #trump2020,-1,1,Joe Biden
904,@USER @USER @USER @USER how many black people killed black people? the whole raciat narrative is completely blown out of the water when you look at the numbers...but dont let that stop u from looting and arson..#trump2020,-1,1,Joe Biden
630,@USER 45 is reagan's legacy 🤷🏾‍♂️ prove me wrong. #maga,-1,1,Joe Biden
725,i will say it again no joe biden can not take a bathroom break let him piss his pants and kamala can blow him dry.,-1,1,Joe Biden
14,"joe biden is a massive racist . california was once red . think about before . our new generation needs to look back . i have a mind that goes back 100 years because of what my family and our books have taught me . what is a super predator , joe ??? 🤨 #debates",-1,1,Joe Biden
348,"@USER you have 1 follower, follow no one and have no pic.... your opinion matters why?
#trump2020 
#wwg1wga",-1,1,Joe Biden
273,"that 1977 @USER is one loving #blm supporter alright. and @USER isn’t responsible for her grandparents owning slaves; then no one else is either, right? well that’s how equality works... 🤷🏼‍♂️ #trump2020 HTTP",-1,1,Joe Biden
939,"what's up party people!?
#trump2020 ❤🤍💙🇺🇲 HTTP",-1,1,Joe Biden
1156,"@USER she disowns corpus christi, texas as her hometown to gain popularity in the begin of her career and lists instead, san antonio, texas as being where she grew up!! nope! try again eva. you have sold out again! #trump2020",-1,1,Joe Biden
