,Text,Stance,Class,Target
0,"Can you hug a fetus without damaging it? Can you feed it food? Water? No.  An acorn isn't a tree and an egg isn't a chicken.   The government can NOT take over someones body and tell them if they can have a baby or not.   This is absurd.
",1,0,Abortion
1,"isnt that a good thing that they dont feel anything? would you want the fetus to feel it?
",1,0,Abortion
2,"I am so glad. Thumbs up to you.   Did you really just say that? Wow... Thanks!    I see that you are really prolife    I wish I fully was.  Infact I used a lot of your opinions in a class presentation. So thank you!
",1,0,Abortion
3,"Jews, slaves, etc. are all beings in their own right, not dependent on the womb of another. So no, your argument does not hold up.
",1,0,Abortion
4,"Well then, she should have bought a vibrator with three settings:  1. slow  2. medium  3. Who needs a man!  ;)
",1,0,Abortion
5,"Don't be ridiculous.   ....................................... ..................
",1,0,Abortion
6,"Hey, sperm does not equal fetus. What iamdavidh is trying to say is that sperm equals same category as fetus! SAME CATEGORY!!!!! POTENTIAL LIFE! get it? I'll say it again: IT'S NOT A PERSON LIKE YOU AND I WHO CAN ASK ""WHY"" OR ""HOW"". The fetus is a ""thing"". It's parasitic in relationship with its host. It can feel pain? My arm can feel pain! My arm has all the human DNA to make another human being, so do sperms and eggs. The fetus can certainly become a person but before it does, it's NOT. NOT A PERSON! P.O.T.E.N.T.I.A.L. ONLY!
",1,0,Abortion
7,"You can just put the kid up for adoption. Is it really that hard?
",1,0,Abortion
8,"adoption is a piece of shit institution. all the kids who would have been aborted get put up for adoption. what now? thousands of more kids getting shuffled around in foster care, oh boy! and by the way, god isn't real.
",1,0,Abortion
9,"No, it's not.  (How's it feel to read a terrible argument?)
",1,0,Abortion
10,"that made a little bit of sense...  in the way that they are legal in most places.  but what about the places its not legal? how does that apply then?
",1,0,Abortion
11,"but its also wrong to kill a child that doesn`t want to be killed...
",1,0,Abortion
12,"Its not a child , its a fetus. It has no feelings at all! abortions are made to early for the fetus to feel anything.
",1,0,Abortion
13,"If it isn't a human, what is it?  If it isn't alive, how can you kill it?  But if it is a human, than it has rights.  If it is alive, than killing it is murder.  Last I checked, murder is illegal (unless you happen to be an unborn baby, in which case you just don't count).
",1,0,Abortion
14,"Are we talking about fleas and dogs or human beings?
",1,0,Abortion
15,"Or, instead, that baby could grow up to be a mass murderer.
",1,0,Abortion
16,"I did do some research. And MOST states won't allow it to go this far.
",1,0,Abortion
17,"I agree with ""fairfax68""
",1,0,Abortion
18,"yes, but you should have to take some sort of test saying why you want to.   i have known people who got abortions bc they ""didnt want to get fat""  that is not a good reason.  needless to say, i dont talk to that person now.
",1,0,Abortion
19,"does the unborn baby have a soul whilst in the womb, or does it travel there whens its born..
",1,0,Abortion
20,"You haven't made any new points with this at all!!! If there's any points in here at all it's ""because it's numerous, it's not as important""!!! That's just bs. BS to the MAX.
",1,0,Abortion
21,"What if the woman in question was a victim of rape or incest? Should they have to go through that?
",1,0,Abortion
22,"There is no point of arguing over abortion in my eyes. Why? Because if a woman wants to kill her own child, then she will.   When there is a will there is way.   Murderers who have the will to kill will kill. Rapists who have the will to rape will rape. This is not all neccesarily true if we interfere, of course.
",1,0,Abortion
