,Text,Stance,Class,Target
0,"@USER @USER and like you, they are all squish #gop weasels who will be in tears on election night.",0,1,Joe Biden
1,.@USER on covid-19: we'll put the politics aside. we'll take the muzzle off the experts so the the public gets the information they need and deserve. honest unvarnished truth. they can handle it. #demconvention @USER HTTP,1,1,Joe Biden
2,"@USER google: how to vote early in ""your state"" and get it done as soon as possible. we have a duty to help the u.s. postal service process these ballots and reduce the stress donald trump is intentionally placing on these public servants. 

#voteearly #voteblue #bidenharris2020",1,2,Joe Biden
3,am i the only one that pictures biden this way all the time? #demdebate HTTP,0,1,Joe Biden
4,"@USER was it the infanticide lie the nun dropped on us that was helpful?
#rnc2020",0,0,Joe Biden
5,@USER i think all the ‘lids’ on the biden campaign days is them trying to find the best drug cocktail to allow biden to look sentient.  trial and error.,-1,0,Joe Biden
6,"you know how they say anyone can be president? it's not true. trump tried it and he couldn't do it. he is literally unable to do the job. so maybe we should give it to someone else

#trumpisaloser #biden2020",1,1,Joe Biden
7,"biden is mostly campaigning for the general election, not debating bernie. #democraticdebate",0,3,Joe Biden
8,so jazzed to get to meet future u.s.rep @USER &amp; u.s.sen. @USER at 11:30 today at stonebridge park in fayetteville. #2020election,0,2,Joe Biden
9,@USER and trump won’t be able to creep around behind biden like he did to hillary. he has to stay in his own lane 👊🏻,1,0,Joe Biden
10,"listened to both these guys for 2 hours tonight. much of what i heard is more big government that promises free/free/free, open borders, killing the oil industry and more. thanks, but we went through 8 years of that with obama and many of us do not want to go back.... #demdebate",0,1,Joe Biden
11,"@USER i'm sure we'll hear the usual blah blah blah hate trump blah blah blah racist trump blah blah russia blah. 
#trumpnowmorethanever 
#kag #maga",-1,1,Joe Biden
12,"joe #biden kept saying to the 
american people that he is
ready to #debate president #trump 
and accepted 3 #three debates 
does joe #biden contemplate
his intention to #refuse 
and #avoid these debates
on a #strategy using the #coronavirus 
for not wanting to travel 
#prediction",0,3,Joe Biden
13,.@USER created this disastrous catastrophe; we all need to #voteblue to save lives ... u.s. reports highest number of covid-19 deaths in one day since mid-may HTTP,1,2,Joe Biden
14,"joe biden is a massive racist . california was once red . think about before . our new generation needs to look back . i have a mind that goes back 100 years because of what my family and our books have taught me . what is a super predator , joe ??? 🤨 #debates",-1,1,Joe Biden
15,"@USER see #2a supporters, the #gop is coming for your guns. ""*400 firearms seized by atf."" rise up! defend #2a!!!!!",0,0,Joe Biden
16,@USER well of course have you see the numbers around the world? is all result of the pandemic ! stop the hate ! #trump2020,-1,0,Joe Biden
17,@USER they pay you? #trump2020 HTTP,-1,0,Joe Biden
18,@USER @USER #fakenews #qanon conspiracy theory,0,2,Joe Biden
19,"i'm not a fan of bernie sander's but every time he says ""uman"", i can't help but smile. #demdebate",0,1,Joe Biden
20,"i'm joining the #womenforbiden watch party for the #demconvention with @USER, @USER, and two broads talking politics guests @USER &amp; @USER!  💃🏽",1,1,Joe Biden
21,@USER i have literally never made a comment on this social media platform in my life and will probably be silenced after this one. biden is not competent even when reading a screen. and you’re bashing trump directly and indirectly with your teams questions. ignoring biden’s fails.,-1,2,Joe Biden
22,"@USER i fear you’re right. i pray @USER ‘s 2nd term will put more focus prosecuting the swamp. he definitely exposed it. think what we know now versus election day’16...
#maga #trump2020",-1,0,Joe Biden
23,honestly can @USER be president tonight? #bidenharris2020 #demconvention,1,3,Joe Biden
24,#happyinternationaldogsday #happynationaldogday #happyinternationaldogday #doggyday and #fourmoreyears for #donaldtrump 😎 HTTP,-1,3,Joe Biden
25,"@USER @USER trump can’t say thailand, his policies are not popular",0,1,Joe Biden
26,"@USER congratulations.

now tell us again how trump learned his lesson from ukraine so u didn't need to impeach him, or how kavanaugh will protect a woman's right to choose.

#voteblue",1,1,Joe Biden
27,@USER saying trump is racist is hilarious considering joe is actually a racist with documented racist comments. #joebiden #potkettleblack #trump2020landslidevictory,-1,3,Joe Biden
28,@USER @USER now #gop #election officials refusing to put out boxes to collect #mailinballots to counter targeted mail disruptn whr .@USER strong to suppress vote. so put collection boxes at polling places thruout early voting. .@USER,0,1,Joe Biden
29,"@USER mw’s brain’s obviously squirming feverishly. 
she/he is clearly nuts!
all mentioned reasons were a projection of the dems own collective hive-mind psyche. do they have a mental as well as a spiritual disorder? do they like &amp;honour usa, the constitution &amp; citizens?
#trump2020 🇺🇸🇦🇺",-1,2,Joe Biden
30,"@USER @USER candace thinks she's gaining momentum by using cardi to keep herself relevant. all she's really doing in increasing cardi's followers. i wasn't following before, but i am now. keep up the good work @USER, we gotchu. ❤❤❤ #voteblue",0,1,Joe Biden
31,@USER vote for law and order in november. 🇺🇸 #trump2020 #lawandorder HTTP,-1,1,Joe Biden
32,".@USER is blaming the violence in dem run cities on trump wanting law&amp;order

u cannot make this up

dems are the new jim jones. they think their followers will believe the lies they spew &amp; drink their kool aid

americans are awake!

dems have blood on their hands!

#kag🇺🇸",-1,0,Joe Biden
33,i really miss #elizabethwarren her ability to explain problems and how to solve them were not only intelligent but also inspiring #demdebate HTTP,0,3,Joe Biden
34,#demconvention thr first lady michelle obama is speaking. i miss her.,0,1,Joe Biden
35,"@USER please #followback all who rt or  quote rt this short (1:36), bluesy pro-biden ditty.  

#voteblue 
#votebidenharris 
- “kamala and joe” - 
please click “thumbs up” on youtube. 
#bidenisawinner
#fbr

also, feel free to pin this: 
HTTP",1,1,Joe Biden
36,"@USER #gop the party of small government, not!

@USER

#stimuluspackage 
#stimulus",0,1,Joe Biden
37,extremely prominent friend-of-biden larry rasky shoutout there in the in memorium video. #demconvention,0,3,Joe Biden
38,"these #joebiden ads are ridiculous.  stop trying to make him out like a saint.  here's all you really need to day about him:  ""he's not trump.""

that's basically how i feel about them.  biden sucks.  trump sucks worse.  end of story.",-1,0,Joe Biden
39,@USER @USER @USER the hair &amp; makeup is flawless #democraticnationalconvention #democraticconvention HTTP,0,3,Joe Biden
40,"this tv game-show host experiment was a failure 
#joebiden #debates2020",1,3,Joe Biden
41,"if tracee ellis ross doesn’t bring her mom on camera, i’m going to be disappointed. #demconvention HTTP",0,1,Joe Biden
